clause_id,clause_type,density,nearest,score,level,percentile_in_category
law_054_dee20e,Governing Law,0.2,0.4363453686237335,0.2945381474494934,Atypical,0.057
law_055_ac3b03,Governing Law,1.0,0.6620766520500183,0.8648306608200074,Highly Standard,0.636
law_056_f59218,Governing Law,1.0,0.7220226526260376,0.888809061050415,Highly Standard,0.729
law_057_84bcfd,Governing Law,1.0,0.7494753003120422,0.8997901201248169,Highly Standard,0.807
law_058_d413ee,Governing Law,0.45,0.43201106786727905,0.44280442714691165,Mixed,0.1
law_059_a12e21,Governing Law,1.0,0.7564338445663452,0.902573537826538,Highly Standard,0.843
law_060_9e8ab4,Governing Law,1.0,0.7494753003120422,0.8997901201248169,Highly Standard,0.807
law_061_b4ca3b,Governing Law,1.0,0.5895360708236694,0.8358144283294677,Highly Standard,0.486
law_062_b36400,Governing Law,1.0,0.6411888599395752,0.85647554397583,Highly Standard,0.543
law_063_d80bea,Governing Law,0.6,0.4007601737976074,0.520304069519043,Standard,0.143
law_064_8a04ed,Governing Law,1.0,0.8099294304847717,0.9239717721939087,Highly Standard,0.914
law_065_d5e309,Governing Law,1.0,0.7899512052536011,0.9159804821014405,Highly Standard,0.886
law_066_445883,Governing Law,1.0,0.4715196490287781,0.7886078596115113,Standard,0.214
law_067_78accd,Governing Law,1.0,0.6564978361129761,0.8625991344451904,Highly Standard,0.557
law_068_9f89f8,Governing Law,0.55,0.3708445429801941,0.4783378171920777,Mixed,0.129
law_069_5b1223,Governing Law,1.0,0.809929370880127,0.9239717483520508,Highly Standard,0.9
tfc_000_a6f747,Termination For Convenience,0.1,0.32480388879776,0.189921555519104,Highly Atypical,0.129
tfc_001_4c05e1,Termination For Convenience,0.35,0.4335134029388428,0.38340536117553714,Mixed,0.457
tfc_002_ff1ba9,Termination For Convenience,0.9,0.6841920614242554,0.8136768245697021,Standard,0.9
tfc_003_cdf66e,Termination For Convenience,0.5,0.4377724528312683,0.4751089811325073,Mixed,0.571
tfc_004_781a07,Termination For Convenience,0.55,0.3978245258331299,0.489129810333252,Mixed,0.6
tfc_005_1b17af,Termination For Convenience,0.2,0.43051499128341675,0.2922059965133667,Atypical,0.343
tfc_006_c586e5,Termination For Convenience,0.5,0.43954020738601685,0.47581608295440675,Mixed,0.586
tfc_007_5bab1b,Termination For Convenience,0.85,0.6565725803375244,0.7726290321350098,Standard,0.857
tfc_008_b09d61,Termination For Convenience,1.0,0.6555418968200684,0.8622167587280274,Highly Standard,0.95
tfc_009_133aae,Termination For Convenience,0.55,0.5254217386245728,0.5401686954498292,Standard,0.657
tfc_010_a54f68,Termination For Convenience,0.65,0.8506485223770142,0.7302594089508057,Standard,0.814
tfc_011_f62535,Termination For Convenience,0.15,0.355097234249115,0.232038893699646,Atypical,0.257
tfc_012_57110f,Termination For Convenience,0.1,0.310651957988739,0.1842607831954956,Highly Atypical,0.086
tfc_013_8fb084,Termination For Convenience,0.15,0.3374071717262268,0.22496286869049073,Atypical,0.229
tfc_014_bf5789,Termination For Convenience,0.45,0.4571866989135742,0.4528746795654297,Mixed,0.514
tfc_015_182966,Termination For Convenience,0.9,0.8830132484436035,0.8932052993774415,Highly Standard,0.986
tfc_016_3eea78,Termination For Convenience,0.25,0.40668219327926636,0.31267287731170657,Mixed,0.371
tfc_017_c59d29,Termination For Convenience,0.7,0.5030789375305176,0.621231575012207,Standard,0.671
tfc_018_99e11f,Termination For Convenience,0.1,0.358486533164978,0.2033946132659912,Atypical,0.157
tfc_019_d84096,Termination For Convenience,1.0,0.5749560594558716,0.8299824237823487,Standard,0.914
tfc_020_8561e6,Termination For Convenience,0.9,0.45530784130096436,0.7221231365203857,Standard,0.786
tfc_021_8c61c8,Termination For Convenience,0.45,0.3880400061607361,0.4252160024642945,Mixed,0.486
tfc_022_c35f27,Termination For Convenience,0.15,0.3741510510444641,0.23966042041778565,Atypical,0.271
tfc_023_e6747d,Termination For Convenience,0.8,0.43713927268981934,0.6548557090759277,Standard,0.7
tfc_024_3b4d23,Termination For Convenience,0.1,0.3476364016532898,0.1990545606613159,Atypical,0.143
tfc_025_7b9f5d,Termination For Convenience,0.5,0.48862171173095703,0.4954486846923828,Standard,0.614
tfc_026_10ff99,Termination For Convenience,0.5,0.4090801477432251,0.46363205909729005,Mixed,0.543
tfc_027_405509,Termination For Convenience,0.15,0.30879998207092285,0.21351999282836914,Atypical,0.171
tfc_028_008c3d,Termination For Convenience,0.3,0.44271159172058105,0.3570846366882324,Mixed,0.443
tfc_029_134a4c,Termination For Convenience,0.75,0.5441919565200806,0.6676767826080322,Standard,0.729
tfc_030_3b5ff4,Termination For Convenience,0.1,0.40892836451530457,0.22357134580612184,Atypical,0.214
tfc_031_1fba70,Termination For Convenience,0.1,0.39561036229133606,0.21824414491653443,Atypical,0.2
tfc_032_c3a0ce,Termination For Convenience,0.4,0.47368648648262024,0.4294745945930481,Mixed,0.5
tfc_033_8d1709,Termination For Convenience,0.4,0.39081013202667236,0.39632405281066896,Mixed,0.471
tfc_034_b3bf00,Termination For Convenience,0.25,0.4939776659011841,0.34759106636047366,Mixed,0.429
tfc_035_7b91d4,Termination For Convenience,0.25,0.40892836451530457,0.31357134580612184,Mixed,0.386
tfc_036_784abb,Termination For Convenience,0.75,0.6903334259986877,0.726133370399475,Standard,0.8
tfc_037_91770d,Termination For Convenience,0.1,0.3140150308609009,0.18560601234436036,Highly Atypical,0.1
tfc_038_1d9c5f,Termination For Convenience,0.0,0.27429282665252686,0.10971713066101074,Highly Atypical,0.043
tfc_039_819437,Termination For Convenience,0.6,0.8506485223770142,0.7002594089508056,Standard,0.757
tfc_040_79707c,Termination For Convenience,0.5,0.3970686197280884,0.45882744789123536,Mixed,0.529
tfc_041_2bb745,Termination For Convenience,0.05,0.3464166820049286,0.16856667280197143,Highly Atypical,0.071
tfc_042_1f0c35,Termination For Convenience,0.15,0.5758071541786194,0.32032286167144775,Mixed,0.4
tfc_043_ff2a7b,Termination For Convenience,0.1,0.31654196977615356,0.18661678791046143,Highly Atypical,0.114
tfc_044_32631f,Termination For Convenience,0.2,0.33572131395339966,0.25428852558135984,Atypical,0.286
tfc_045_c4b603,Termination For Convenience,1.0,0.8830132484436035,0.9532052993774414,Highly Standard,1.0
tfc_046_7667dc,Termination For Convenience,1.0,0.6555418968200684,0.8622167587280274,Highly Standard,0.95
tfc_047_d4e9a6,Termination For Convenience,0.0,0.2666844129562378,0.10667376518249512,Highly Atypical,0.021
tfc_048_7afb0d,Termination For Convenience,0.1,0.5758071541786194,0.2903228616714478,Atypical,0.329
tfc_049_a44068,Termination For Convenience,0.6,0.7678430676460266,0.6671372270584106,Standard,0.714
tfc_050_946269,Termination For Convenience,0.85,0.5525856018066406,0.7310342407226562,Standard,0.829
tfc_051_17848b,Termination For Convenience,0.6,0.4377724528312683,0.5351089811325074,Standard,0.643
tfc_052_6da021,Termination For Convenience,0.15,0.31839099526405334,0.21735639810562135,Atypical,0.186
tfc_053_6ef194,Termination For Convenience,0.05,0.5689924359321594,0.2575969743728638,Atypical,0.3
tfc_054_ef1019,Termination For Convenience,1.0,0.5030789375305176,0.801231575012207,Standard,0.886
tfc_055_89e34d,Termination For Convenience,0.2,0.4498417377471924,0.299936695098877,Atypical,0.357
tfc_056_ce74c3,Termination For Convenience,0.55,0.4149934649467468,0.49599738597869875,Standard,0.629
tfc_057_7605fc,Termination For Convenience,0.95,0.5658432245254517,0.7963372898101806,Standard,0.871
tfc_058_088bca,Termination For Convenience,0.05,0.30247989296913147,0.1509919571876526,Highly Atypical,0.057
tfc_059_082fb9,Termination For Convenience,0.2,0.3741924464702606,0.26967697858810424,Atypical,0.314
tfc_060_fee1a7,Termination For Convenience,0.9,0.48886144161224365,0.7355445766448975,Standard,0.843
tfc_061_7d1f5f,Termination For Convenience,0.15,0.35265636444091797,0.2310625457763672,Atypical,0.243
tfc_062_e9a433,Termination For Convenience,0.0,0.2666844129562378,0.10667376518249512,Highly Atypical,0.021
tfc_063_6033ae,Termination For Convenience,1.0,0.6903334259986877,0.8761333703994751,Highly Standard,0.971
tfc_064_a7169b,Termination For Convenience,0.3,0.3926549553871155,0.3370619821548462,Mixed,0.414
tfc_065_a25eed,Termination For Convenience,1.0,0.6409883499145508,0.8563953399658203,Highly Standard,0.929
tfc_066_7b7054,Termination For Convenience,0.55,0.7678430676460266,0.6371372270584107,Standard,0.686
tfc_067_33f025,Termination For Convenience,0.75,0.5749560594558716,0.6799824237823486,Standard,0.743
tfc_068_d7e012,Termination For Convenience,0.85,0.5217664837837219,0.7187065935134888,Standard,0.771
